Player,Nation,Pos,Team,League,Age,Height,Weight,Overall,Potential,TotalStats,BaseStats,BestPosition,ValueEUR,WageEUR,ClubNumber,PreferredFoot,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle
Aleix Febas,ESP,MF,Mallorca,La Liga,23.0,171,61,72,79,1917,405,CAM,4300000,7000,6.0,Right,1,3,4,Medium,Medium,69,62,73,76,61,64,67,58,36,77,57,75,73,63,75,73,71,68,86,72,82,67,57,72,60,66,68,68,65,75,59,75,62,64,63
Aleix Vidal,ESP,MF,Alavés,La Liga,29.0,177,70,77,77,2024,441,RM,8500000,27000,27.0,Right,2,4,3,High,Medium,82,67,72,78,72,70,74,68,63,79,48,79,69,46,66,79,82,82,75,77,75,81,76,69,66,59,80,74,69,71,51,72,75,70,74
Aleksandar Kolarov,SRB,DF,Roma,Serie A,33.0,187,81,82,82,2239,458,LB,8000000,105000,11.0,Left,2,3,3,High,Medium,68,74,81,76,82,77,90,60,80,78,64,80,85,88,77,77,69,67,61,83,58,95,79,79,73,86,86,82,78,77,80,90,82,83,81
Alessio Romagnoli,ITA,DF,Milan,Serie A,24.0,188,78,83,87,1782,398,CB,30000000,51000,13.0,Left,2,3,2,Medium,High,70,40,56,69,85,78,36,30,78,75,28,68,36,24,71,76,68,72,59,80,53,64,79,71,79,46,85,86,31,45,34,76,88,86,82
Alex Oxlade-Chamberlain,ENG,MF,Liverpool,Premier League,25.0,175,70,79,80,2118,454,CAM,14500000,89000,15.0,Right,2,4,4,High,High,79,74,78,83,67,73,78,70,39,80,60,84,73,60,75,84,78,79,79,78,87,83,69,78,70,78,77,73,79,81,69,77,68,72,68
Alex Sandro,BRA,DF,Juventus,Serie A,28.0,180,80,85,85,2178,465,LB,31500000,120000,12.0,Left,3,3,3,High,Medium,81,65,77,80,81,81,84,55,76,81,68,80,78,59,71,81,78,83,78,84,77,80,79,90,77,72,82,82,70,70,60,80,80,81,82
Alexander Isak,SWE,FW,Real Sociedad,La Liga,19.0,192,77,79,86,1859,402,ST,18000000,28000,19.0,Right,1,5,4,High,Low,82,80,65,78,28,69,61,82,70,72,81,78,67,45,47,81,81,83,80,74,68,84,71,70,75,73,52,29,80,76,75,77,25,21,18
Alexander Tettey,NOR,MF,Norwich City,Premier League,33.0,180,68,71,71,1941,392,CDM,900000,7000,27.0,Right,1,2,2,Medium,High,56,64,63,62,71,76,60,56,62,71,62,59,55,51,63,63,57,55,65,68,74,85,74,68,79,68,80,74,54,58,47,65,75,70,69
Alexandre Lacazette,FRA,FW,Arsenal,Premier League,28.0,176,77,83,83,2076,438,ST,26000000,125000,9.0,Right,3,4,4,High,High,76,82,75,84,46,75,68,83,75,79,79,84,74,74,70,85,77,75,81,84,82,87,76,77,75,78,74,42,84,78,76,81,39,51,32
Aleš Matějů,CZE,DF,Brescia,Serie A,23.0,185,80,70,74,1794,383,RB,2000000,15000,3.0,Right,1,4,3,High,Medium,74,41,63,68,67,70,67,28,59,65,33,67,65,54,60,69,76,73,69,67,70,56,73,73,68,52,69,66,58,61,46,69,69,67,67
Alfredo Donnarumma,ITA,FW,Brescia,Serie A,28.0,180,74,73,73,1805,382,ST,4000000,32000,9.0,Right,1,3,3,High,Low,81,74,59,72,36,60,54,77,73,65,69,72,66,60,55,71,77,84,77,70,66,74,57,74,61,70,40,29,75,55,76,71,28,36,37
Alfredo Morales,USA,MF,Düsseldorf,Bundesliga,29.0,183,77,72,72,1915,403,CDM,2600000,18000,6.0,Right,1,3,3,High,High,64,58,69,70,66,76,61,53,55,73,49,68,64,53,70,72,66,63,72,70,72,70,73,86,68,63,82,70,61,72,45,67,66,67,68
Allan Nyom,CMR,DF,Getafe,La Liga,31.0,189,80,75,75,1960,437,RM,5000000,25000,12.0,Right,2,3,3,Medium,Medium,80,59,72,70,73,83,77,52,70,75,44,74,71,30,73,72,78,82,53,71,46,74,74,79,86,66,84,73,75,74,37,67,72,74,72
Allan Saint-Maximin,FRA,MF,Newcastle Utd,Premier League,22.0,173,67,80,86,1872,411,CAM,20500000,43000,10.0,Right,2,4,5,High,Low,93,70,72,88,25,63,70,67,53,76,59,91,73,58,66,83,93,93,93,77,87,80,67,77,66,71,36,17,74,73,58,82,28,18,23
Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,18.0,181,72,81,89,2111,467,LB,22500000,40000,19.0,Left,1,4,4,High,Medium,96,67,69,83,76,76,73,67,64,77,59,85,67,44,58,79,96,96,85,79,82,71,77,79,74,63,77,76,75,68,60,74,77,77,79
Amir Rrahmani,KVX,DF,Hellas Verona,Serie A,25.0,192,83,76,80,1728,384,CB,9000000,47000,33.0,Right,1,4,2,High,Medium,62,51,54,59,78,80,49,43,75,62,39,59,49,21,60,64,54,69,49,65,47,60,72,73,85,66,78,70,49,48,34,65,78,82,80
Ander Capa,ESP,DF,Athletic Club,La Liga,27.0,175,75,81,81,2164,467,RB,15000000,31000,21.0,Right,1,3,3,High,High,83,65,77,79,75,88,81,56,60,80,54,78,80,58,67,78,82,83,80,76,86,83,81,93,86,67,86,77,78,78,54,78,74,78,76
Andrea Belotti,ITA,FW,Torino,Serie A,25.0,181,72,80,83,1951,413,ST,18500000,57000,9.0,Right,3,5,3,High,High,76,81,57,77,41,81,42,88,84,68,82,78,64,56,42,75,76,76,78,76,75,81,83,80,80,67,83,31,85,61,77,75,55,23,32
Andrea Petagna,ITA,FW,SPAL,Serie A,24.0,190,85,76,81,1826,401,ST,10500000,54000,37.0,Left,1,3,3,Medium,Medium,61,75,68,76,40,81,60,78,78,76,66,78,59,45,64,80,54,66,57,73,71,80,70,76,92,62,62,22,79,75,80,71,59,27,20
Andrea Pinamonti,ITA,FW,Genoa,Serie A,20.0,185,72,68,81,1576,328,ST,1700000,24000,99.0,Right,1,3,3,Medium,Medium,62,70,45,67,22,62,40,73,70,53,72,64,43,47,36,74,64,60,62,67,64,68,64,60,66,67,52,16,70,45,69,60,15,19,19
Andrea Poli,ITA,MF,Bologna,Serie A,29.0,182,77,76,76,2022,426,CDM,6500000,28000,16.0,Right,2,3,3,High,Medium,68,65,75,78,73,67,68,56,65,80,69,78,72,68,74,80,67,68,72,76,75,72,65,72,62,72,73,74,74,77,68,74,76,72,72
Andrea Rispoli,ITA,DF,Lecce,Serie A,30.0,188,83,72,72,1936,421,RB,2200000,9000,33.0,Right,1,3,3,High,Medium,79,64,66,69,68,75,71,68,70,68,51,69,61,54,66,71,77,80,70,70,53,67,79,75,77,55,67,67,67,61,59,67,67,70,66
Andreas Cornelius,DEN,FW,Parma,Serie A,26.0,193,91,75,76,1759,381,ST,8000000,32000,11.0,Left,2,3,3,High,Low,61,75,58,67,39,81,42,77,80,71,68,66,45,56,51,74,61,61,49,71,62,79,74,64,93,68,74,28,77,59,65,72,54,26,12
Andreas Skov Olsen,DEN,FW,Bologna,Serie A,19.0,188,75,72,83,1821,393,ST,5500000,18000,11.0,Left,1,4,3,Medium,Low,82,71,65,74,35,66,65,72,64,68,59,75,70,62,60,74,83,82,70,64,74,74,69,65,67,71,62,24,74,65,68,68,36,34,24
Andrew Robertson,SCO,DF,Liverpool,Premier League,25.0,178,64,87,89,2127,461,LB,53000000,155000,26.0,Left,3,2,3,High,High,82,62,80,80,81,76,90,57,67,82,32,80,82,38,76,82,79,85,78,84,74,78,62,95,65,65,85,82,77,79,55,83,83,84,81
André Hoffmann,GER,DF,Düsseldorf,Bundesliga,26.0,190,84,72,73,1607,347,CB,3100000,18000,3.0,Right,1,2,2,Medium,Medium,53,38,57,56,73,70,49,29,74,67,23,51,27,31,64,62,49,56,53,71,56,61,62,54,78,34,72,70,52,55,42,63,73,75,71
Andrés Guardado,MEX,MF,Betis,La Liga,32.0,169,67,78,78,2107,434,CM,6000000,26000,18.0,Left,3,2,4,Medium,Medium,67,69,79,80,71,68,74,64,55,81,69,79,78,80,79,81,69,65,79,77,87,73,71,81,60,74,72,71,69,82,70,76,74,72,73
Angelo Ogbonna,ITA,DF,West Ham,Premier League,31.0,191,86,77,77,1680,363,CB,5500000,37000,21.0,Left,2,3,2,Medium,Medium,53,39,58,60,79,74,51,25,79,68,30,61,51,36,67,60,51,55,54,74,53,68,76,63,80,46,74,79,33,50,39,72,78,80,78
Ante Budimir,CRO,FW,Mallorca,La Liga,28.0,190,75,76,76,1680,373,ST,8000000,12000,22.0,Left,2,4,3,Medium,High,66,76,48,71,35,77,41,83,80,68,69,72,44,31,30,78,63,69,58,68,40,74,56,70,83,65,77,24,78,39,65,72,29,35,27
Ante Rebić,CRO,FW,Milan,Serie A,25.0,185,78,79,80,2012,436,ST,15000000,48000,12.0,Right,1,4,4,High,Medium,88,80,70,79,39,80,74,80,70,72,82,80,76,66,57,81,84,91,74,76,68,85,65,78,81,79,84,29,77,70,63,75,28,50,25
Anthony Martial,FRA,FW,Manchester Utd,Premier League,23.0,184,76,84,88,2065,446,ST,41000000,155000,9.0,Right,3,3,4,Medium,Medium,89,83,74,87,41,72,72,85,71,80,75,89,84,54,63,87,88,90,83,82,79,83,70,77,76,79,54,42,84,77,81,82,34,39,36
Anthony Modeste,FRA,FW,Köln,Bundesliga,31.0,187,84,75,75,1858,394,ST,5500000,28000,27.0,Right,2,3,3,Medium,Medium,72,74,63,70,35,80,62,74,80,67,75,70,66,56,55,70,68,76,66,79,62,74,85,67,86,71,80,15,76,62,78,77,42,31,19
Antoine Griezmann,FRA,FW,Barcelona,La Liga,28.0,176,73,87,87,2288,465,ST,50500000,290000,7.0,Left,4,3,4,Medium,Medium,79,85,84,88,57,72,83,88,83,84,87,87,86,85,82,89,80,79,91,92,83,81,90,86,63,82,73,49,89,85,86,89,59,54,49
Antonino Barillà,ITA,MF,Parma,Serie A,31.0,180,78,71,71,2021,431,CM,1800000,4000,20.0,Left,1,3,3,High,Medium,81,66,70,71,68,75,69,60,61,74,65,65,67,65,70,76,75,85,83,66,85,77,64,84,72,72,73,64,68,65,55,71,65,74,72
Antonio Candreva,ITA,DF,Inter,Serie A,32.0,180,70,78,78,2046,432,RM,6500000,23000,87.0,Right,3,4,4,Medium,Medium,72,78,77,79,61,65,79,73,55,79,75,80,74,71,74,82,70,74,72,75,76,87,36,80,60,81,66,67,79,75,83,73,61,63,53
Antonio Puertas,ESP,FW,Granada,La Liga,27.0,183,77,77,77,1950,419,RM,9000000,28000,10.0,Right,1,3,3,High,High,78,76,72,75,44,74,77,78,73,75,65,75,62,45,68,77,77,79,77,71,71,80,73,77,75,71,70,41,82,72,65,60,44,39,31
Antonio Raillo,ESP,DF,Mallorca,La Liga,27.0,187,80,72,73,1666,350,CB,3000000,7000,21.0,Right,1,3,2,Low,High,56,36,53,54,73,78,29,25,77,71,37,52,42,36,59,61,53,59,35,65,54,54,80,90,70,39,80,73,51,46,43,66,73,73,70
Anwar El Ghazi,NED,FW,Aston Villa,Premier League,24.0,189,90,75,78,1833,395,ST,8500000,50000,21.0,Right,1,4,4,Medium,Low,75,75,70,75,32,68,74,74,72,73,67,78,75,73,54,77,72,77,68,74,52,83,52,69,75,77,55,28,73,69,63,72,32,28,15
Arkadiusz Milik,POL,FW,Napoli,Serie A,25.0,186,78,81,84,1955,405,ST,22500000,80000,99.0,Left,3,3,4,Medium,Medium,68,85,64,76,39,73,58,88,80,66,78,76,74,84,62,81,65,70,66,77,63,86,63,67,79,82,67,36,85,60,79,78,35,34,32
Armando Izzo,ITA,DF,Torino,Serie A,27.0,183,78,79,81,1672,366,CB,12500000,47000,5.0,Right,1,4,2,Medium,Medium,65,33,48,64,82,74,35,19,81,64,32,62,26,26,60,66,67,64,62,80,66,56,76,63,76,44,81,81,16,33,37,70,82,84,82
Artur Ioniță,MDA,MF,Cagliari,Serie A,28.0,184,73,73,73,2028,420,CB,3800000,16000,29.0,Right,2,4,3,Medium,High,61,68,71,70,74,76,68,64,77,75,60,68,69,65,72,74,62,60,63,73,68,75,78,74,76,71,80,73,74,69,65,73,71,78,73
Arturo Vidal,CHI,MF,Barcelona,La Liga,32.0,180,75,83,83,2241,470,CM,15000000,125000,22.0,Right,4,4,3,High,High,65,79,79,78,83,86,76,75,81,81,78,76,76,68,80,82,66,65,73,85,77,84,82,86,83,81,93,84,82,81,81,80,80,86,83
Ashley Westwood,ENG,MF,Burnley,Premier League,29.0,175,73,78,78,2073,423,CDM,8500000,50000,18.0,Right,1,3,3,Medium,Medium,59,62,79,73,74,76,81,55,60,80,56,70,83,80,79,77,63,55,74,77,78,76,67,86,70,65,81,76,68,76,64,77,76,76,73
Axel Witsel,BEL,MF,Dortmund,Bundesliga,30.0,186,81,84,84,2192,460,CDM,23500000,79000,28.0,Right,3,4,4,Medium,Medium,63,73,81,79,82,82,69,71,84,90,77,79,71,68,85,83,62,64,74,82,70,76,78,83,84,71,77,83,75,81,76,92,82,80,81
Ayoze Pérez,ESP,MF,Leicester City,Premier League,26.0,178,72,79,79,2052,430,RW,13500000,90000,17.0,Right,1,4,4,High,High,78,75,71,82,58,66,70,79,75,77,77,83,78,60,51,80,79,78,83,82,79,72,73,79,55,69,74,49,82,76,73,77,59,61,42
Aïssa Mandi,ALG,DF,Betis,La Liga,27.0,184,78,79,80,1973,412,CB,12500000,27000,23.0,Right,1,3,2,High,Medium,67,46,74,70,80,75,73,41,82,81,49,65,67,49,78,77,68,67,73,78,66,52,80,66,78,49,76,83,67,70,35,78,79,79,81
Bartosz Bereszyński,POL,DF,Sampdoria,Serie A,27.0,183,77,72,72,1895,411,RB,2800000,13000,24.0,Right,1,3,3,High,Medium,84,56,64,69,67,71,67,50,60,68,56,68,60,50,62,70,83,85,73,68,72,64,69,76,68,60,71,67,60,60,50,69,66,69,68
Bastian Oczipka,GER,DF,Schalke 04,Bundesliga,30.0,185,85,75,75,1981,418,LB,4800000,23000,24.0,Left,2,2,2,High,Medium,66,59,72,71,74,76,79,50,68,74,47,72,61,70,71,72,65,66,64,73,62,75,71,76,77,64,75,71,64,67,70,73,75,77,76
Ben Chilwell,ENG,DF,Leicester City,Premier League,22.0,178,77,81,85,2034,432,LB,20500000,79000,21.0,Left,1,3,3,High,High,76,52,74,78,77,75,78,47,68,76,42,78,67,67,70,81,77,76,70,80,72,72,82,88,69,40,72,78,74,72,52,74,77,79,82
Ben Godfrey,ENG,DF,Norwich City,Premier League,21.0,183,79,72,83,1756,386,CB,4900000,7000,4.0,Right,1,3,2,Medium,High,72,44,58,64,71,77,47,35,66,69,40,60,39,33,63,67,69,75,67,70,68,53,74,72,81,55,72,69,46,56,44,68,71,72,73
Ben Mee,ENG,DF,Burnley,Premier League,29.0,180,82,79,79,1798,384,CB,10000000,56000,6.0,Left,1,3,2,Medium,High,62,42,59,63,80,78,59,36,79,62,29,59,45,31,63,65,60,64,63,78,67,60,89,67,80,39,83,81,40,60,42,74,80,81,78
Ben Zolinski,GER,FW,Paderborn 07,Bundesliga,27.0,181,78,68,68,1901,408,ST,925000,5000,31.0,Right,1,3,2,High,High,73,68,61,67,61,78,64,69,54,64,62,66,63,50,55,67,77,70,69,70,69,75,74,94,76,61,62,63,71,58,59,65,58,64,62
Benjamin Pavard,FRA,DF,Bayern Munich,Bundesliga,23.0,186,76,81,85,2027,423,CB,20500000,65000,5.0,Right,1,3,3,Medium,High,69,53,73,71,81,76,77,43,82,78,70,68,63,51,79,77,68,69,66,80,66,71,86,79,75,53,73,84,58,66,51,78,81,79,81
Berat Djimsiti,ALB,DF,Atalanta,Serie A,26.0,190,83,76,78,1630,342,CB,8000000,42000,19.0,Right,1,3,2,Medium,Medium,40,39,59,48,79,77,53,36,77,68,32,34,42,30,68,68,45,35,44,79,51,52,37,71,83,30,80,80,55,56,38,70,80,79,78
Bernard,BRA,MF,Everton,Premier League,26.0,164,60,78,78,1893,393,LM,11000000,75000,20.0,Right,2,4,4,High,Medium,84,68,73,85,39,44,72,65,59,75,68,84,77,69,66,83,89,79,94,75,95,76,61,69,30,66,41,42,73,74,61,72,31,42,25
Bernardo Espinosa,COL,DF,Espanyol,La Liga,30.0,192,86,73,73,1656,343,CB,3200000,8000,2.0,Right,1,3,2,Medium,High,43,44,58,50,72,76,51,40,75,70,44,40,51,42,61,67,41,44,47,66,33,56,80,57,84,42,80,72,36,49,52,70,70,74,73
Bernardo Silva,POR,FW,Manchester City,Premier League,24.0,173,64,87,88,2124,451,RW,60000000,230000,20.0,Left,2,3,4,High,High,81,77,83,92,51,67,85,79,51,86,70,92,84,67,76,92,85,78,94,85,92,76,51,93,54,76,69,49,85,85,68,87,49,59,40
Blaise Matuidi,FRA,MF,Juventus,Serie A,32.0,180,75,83,83,2149,454,CDM,12500000,14000,8.0,Left,3,2,2,Medium,High,75,66,75,77,82,79,74,60,68,80,72,76,60,52,77,77,76,75,83,81,79,78,84,85,73,67,86,83,72,74,56,82,85,83,85
Borja Iglesias,ESP,FW,Betis,La Liga,26.0,187,86,79,80,1862,396,ST,14500000,31000,9.0,Right,1,3,3,High,Medium,66,78,64,73,35,80,50,79,80,72,71,73,51,36,65,77,63,69,61,78,72,80,70,72,91,73,66,30,82,71,78,80,32,31,18
Borja Mayoral,ESP,FW,Levante,La Liga,22.0,182,74,76,82,1870,395,ST,10500000,105000,16.0,Right,1,4,3,Medium,Medium,67,76,69,77,38,68,60,76,75,79,72,76,56,58,65,80,65,68,73,76,69,78,77,71,74,72,48,37,80,67,74,82,40,29,24
Brais Méndez,ESP,MF,Celta Vigo,La Liga,22.0,187,76,75,84,1899,407,CAM,10500000,19000,23.0,Left,1,3,4,Medium,Medium,72,74,75,73,50,63,74,76,52,74,65,75,74,75,73,76,71,72,69,74,47,73,64,66,69,77,45,55,77,77,62,78,49,49,44
Bram Nuytinck,NED,DF,Udinese,Serie A,29.0,190,82,72,72,1511,316,CB,2500000,12000,17.0,Left,1,2,2,Low,Medium,33,40,48,51,76,68,30,32,70,58,40,50,46,34,62,58,32,34,35,68,38,62,60,51,75,36,74,76,28,44,46,69,78,78,72
Breel Embolo,SUI,FW,M'Gladbach,Bundesliga,22.0,185,86,78,84,1950,428,ST,14500000,37000,36.0,Right,2,4,3,Medium,Medium,87,76,70,74,40,81,63,78,71,76,64,77,68,51,70,74,83,91,66,76,67,82,73,78,85,70,79,41,78,72,66,74,26,42,38
Bruno Alves,POR,DF,Parma,Serie A,37.0,189,83,72,72,1927,379,CB,625000,14000,22.0,Right,2,3,3,Medium,Medium,35,67,64,63,71,79,65,60,74,62,58,64,75,78,71,63,39,32,61,63,61,81,88,55,87,76,88,63,50,56,73,80,72,74,70
Bryan Cristante,ITA,MF,Roma,Serie A,24.0,186,80,78,82,1999,427,CDM,12000000,500,4.0,Right,2,3,3,Medium,Medium,55,72,75,75,75,75,70,68,76,81,70,76,68,62,78,80,58,53,62,76,54,80,56,77,75,77,76,74,76,74,58,74,74,77,74
Bukayo Saka,ENG,DF,Arsenal,Premier League,17.0,178,65,75,88,1902,412,LM,12000000,22000,7.0,Left,1,4,3,High,Medium,84,61,71,78,55,63,79,60,45,74,55,78,72,48,63,76,86,82,83,71,82,64,51,76,58,60,64,53,68,71,58,70,55,58,62
Callum Wilson,ENG,FW,Bournemouth,Premier League,27.0,180,66,78,78,1917,413,ST,10500000,48000,13.0,Right,1,3,4,High,Medium,82,77,65,76,39,74,61,81,78,70,71,77,63,45,62,76,78,85,75,77,73,77,67,73,75,68,73,40,82,70,78,77,29,39,25
Carlos Neva,ESP,DF,Granada,La Liga,23.0,174,64,76,81,1821,397,LB,9000000,20000,15.0,Left,1,2,2,High,Medium,78,50,61,70,74,64,76,45,65,70,37,70,54,35,45,69,78,78,75,74,69,64,58,68,61,49,69,74,67,51,48,61,74,77,75
Carlos Soler,ESP,MF,Valencia,La Liga,22.0,180,76,79,84,2069,442,CAM,17000000,34000,8.0,Right,1,4,3,Medium,Medium,79,74,79,78,62,70,78,73,56,81,66,78,69,82,76,79,77,80,75,80,70,77,56,81,68,73,65,68,75,81,73,76,60,65,56
Casemiro,BRA,MF,Real Madrid,La Liga,27.0,185,84,89,89,2220,463,CDM,59500000,310000,14.0,Right,3,3,2,High,High,65,73,76,72,86,91,58,64,80,84,63,69,63,74,84,79,60,69,61,87,66,88,87,90,91,81,91,87,72,80,66,84,84,88,87
Charles Aránguiz,CHI,MF,Leverkusen,Bundesliga,30.0,171,70,83,83,2171,446,CDM,19500000,78000,20.0,Right,2,4,3,Medium,Medium,60,72,82,81,78,73,78,66,53,85,68,79,75,76,84,83,71,51,79,87,86,78,61,85,64,77,81,85,75,81,76,81,86,74,72
Che Adams,ENG,FW,Southampton,Premier League,23.0,178,70,74,79,1907,408,ST,7500000,41000,10.0,Right,1,4,3,High,Medium,85,74,61,73,39,76,55,73,61,67,63,72,63,59,53,74,84,85,78,72,74,79,76,75,77,74,74,36,76,62,69,67,33,42,36
Cheikhou Kouyaté,SEN,MF,Crystal Palace,Premier League,29.0,189,83,77,77,1961,427,CB,7500000,48000,8.0,Right,2,3,3,High,High,67,65,62,69,78,86,53,63,79,69,50,68,39,47,65,73,64,69,62,79,56,74,77,89,85,63,85,77,73,65,52,72,77,79,76
Chidozie Awaziem,NGA,DF,Leganés,La Liga,22.0,189,78,73,80,1607,356,CB,5000000,7000,2.0,Right,1,3,2,Medium,High,65,39,45,60,73,74,30,36,70,63,30,57,33,25,54,63,64,66,63,73,51,53,72,67,76,37,77,73,28,30,40,69,73,75,73
Chris Basham,ENG,DF,Sheffield Utd,Premier League,31.0,190,80,77,77,1793,389,CB,6500000,33000,6.0,Right,1,2,2,High,Medium,64,43,61,63,79,79,63,37,75,67,52,63,48,30,62,64,60,68,60,79,54,59,71,75,79,40,85,82,50,57,31,62,78,80,76
Chris Smalling,ENG,DF,Roma,Serie A,29.0,194,81,79,79,1800,394,CB,10000000,100000,12.0,Right,3,3,2,Medium,High,68,47,58,59,81,81,52,54,82,65,49,59,49,22,64,58,59,75,55,78,44,42,73,67,88,35,83,80,46,56,52,67,79,82,81
Chris Wood,NZL,FW,Burnley,Premier League,27.0,191,92,78,78,1903,392,ST,10500000,62000,9.0,Right,1,3,2,High,Medium,66,78,59,68,40,81,46,79,86,67,74,66,69,64,48,75,64,68,60,78,61,81,77,76,86,72,74,40,80,64,81,77,39,30,29
Christian Gentner,GER,MF,Union Berlin,Bundesliga,33.0,189,81,74,74,1948,395,CM,2700000,26000,34.0,Right,2,4,2,Medium,Medium,33,73,73,67,75,74,68,69,79,76,73,69,70,55,74,73,34,33,50,71,48,80,61,69,77,76,75,75,74,75,64,78,70,77,76
Christian Günter,GER,DF,Freiburg,Bundesliga,26.0,185,87,78,78,1959,432,LB,9000000,25000,30.0,Left,2,2,3,High,Medium,84,54,69,70,73,82,82,48,60,69,39,72,75,68,64,68,76,90,64,75,64,72,53,85,82,53,84,74,65,56,44,69,72,76,74
Christian Kabasele,BEL,DF,Watford,Premier League,28.0,188,84,76,77,1768,383,CB,7500000,18000,27.0,Right,1,3,2,Medium,High,68,50,51,62,76,76,47,49,76,65,52,59,34,27,57,66,62,73,57,73,57,57,83,68,80,44,76,75,50,36,53,64,76,77,78
