Player,Nation,Pos,Team,League,Age,Height,Weight,MatchesPlayed,Starts,MinutesPlayed,Goals,Assists,PenaltyGoals,PenaltiesAtt,YellowCards,RedCards,Per90MinutesGls,Per90MinutesAst,Per90MinutesG+A,Per90MinutesG-PK,Per90MinutesG+A-PK,xG,npxG,xA,Per90MinutesxG,Per90MinutesxA,Per90MinutesxG+xA,Per90MinutesnpxG,Per90MinutesnpxG+xA,90sPlayed,Tackles,TacklesWon,TacklesDef3rd,TacklesMid3rd,TacklesAtt3rd,VsDribblesTkl,VsDribblesAtt,VsDribblesTkl%,VsDribblesPast,Pressures,SuccessfulPressures,Pressures%,PressuresDef3rd,PressuresMid3rd,PressuresAtt3rd,Blocks,BlockedShots,BlockedSoT,BlockedPasses,PassesIntercepted,Tkl+Int,Clearances,ErrorsLeadingToShot,SCA,SCA90,SCATypesPassLive,SCATypesPassDead,SCATypesDrib,SCATypesSh,SCATypesFld,GCA,GCA90,GCATypesPassLive,GCATypesPassDead,GCATypesDrib,GCATypesSh,GCATypesFld,GCATypesOG,TotalCmp,TotalAtt,TotalCmp%,TotalTotDist,TotalPrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,LongAst,LongxA,LongA-xA,LongKP,Long,LongPPA,LongCrsPA,LongProg,PassTypesLive,PassTypesDead,PassTypesFK,PassTypesTB,PassTypesPress,PassTypesSw,PassTypesCrs,PassTypesCK,CornerKicksIn,CornerKicksOut,CornerKicksStr,GroundPasses,LowPasses,HighPasses,LeftFootPasses,RightFootPasses,HeadedPasses,ThrowInsTaken,MiscPasses,OutcomesOff,OutcomesOut,OutcomesInt,OutcomesBlocks,TouchesTouches,TouchesDefPen,TouchesDef3rd,TouchesMid3rd,TouchesAtt3rd,TouchesAttPen,TouchesLive,DribblesSucc,DribblesAtt,DribblesSucc%,Dribbles#Pl,DribblesMegs,Carries,CarriesTotDist,CarriesPrgDist,ReceivingTarg,ReceivingRec,ReceivingRec%,ReceivingMiscon,ReceivingDispos,StandardSh,StandardSoT,StandardSoT%,StandardSh/90,StandardSoT/90,StandardG/Sh,StandardG/SoT,StandardFK,ExpectednpxG/Sh,ExpectedG-xG,Expectednp:G-xG
Adrián López,ESP,FW,Osasuna,La Liga,31.0,183,73,26,17,1443,2,0,1,1,0,0,0.12,0.0,0.12,0.06,0.06,2.6,1.8,2.0,0.16,0.13,0.29,0.11,0.24,16.0,10.0,6,2.0,4.0,4.0,4.0,20.0,20.0,16.0,184.0,55.0,29.9,16.0,88.0,80.0,10.0,2.0,0.0,8.0,6,16,9.0,0.0,42.0,2.62,38.0,0.0,2.0,1.0,1.0,3.0,0.19,2.0,0.0,0.0,1.0,0.0,0.0,358.0,507.0,70.6,5000.0,1125.0,18.0,42.0,42.9,306.0,407.0,75.2,34.0,58.0,58.6,0,2.0,-2.0,22.0,32.0,8.0,2.0,35.0,489.0,18.0,1.0,3.0,134.0,4.0,18,0.0,0.0,0.0,0.0,310.0,110.0,87.0,32.0,389.0,38.0,0.0,11.0,3.0,16.0,11.0,18.0,657.0,12.0,44.0,344.0,327.0,73.0,640.0,15.0,30.0,50.0,15.0,1.0,434.0,3398.0,2042.0,805.0,524.0,65.1,39.0,26.0,18,7,38.9,1.12,0.44,0.06,0.14,0.0,0.1,-0.6,-0.8
Albin Ekdal,SWE,MF,Sampdoria,Serie A,30.0,186,82,32,27,2385,0,2,0,0,8,0,0.0,0.08,0.08,0.0,0.08,1.6,1.6,1.0,0.06,0.04,0.1,0.06,0.1,26.5,58.0,44,21.0,34.0,3.0,19.0,74.0,25.7,55.0,507.0,151.0,29.8,170.0,278.0,59.0,48.0,13.0,0.0,35.0,32,90,52.0,1.0,56.0,2.11,49.0,0.0,0.0,2.0,5.0,7.0,0.26,4.0,0.0,0.0,0.0,3.0,0.0,1012.0,1161.0,87.2,18005.0,4955.0,32.0,49.0,65.3,778.0,870.0,89.4,202.0,242.0,83.5,2,1.0,1.0,23.0,102.0,22.0,1.0,110.0,1084.0,77.0,70.0,1.0,172.0,23.0,5,0.0,0.0,0.0,0.0,828.0,194.0,139.0,120.0,954.0,52.0,7.0,10.0,3.0,9.0,8.0,19.0,1454.0,80.0,396.0,914.0,256.0,27.0,1393.0,24.0,33.0,72.7,24.0,2.0,919.0,6205.0,3582.0,942.0,866.0,91.9,12.0,29.0,17,2,11.8,0.64,0.08,0.0,0.0,0.0,0.09,-1.6,-1.6
Aleix Febas,ESP,MF,Mallorca,La Liga,23.0,171,61,29,22,1690,0,3,0,0,4,0,0.0,0.16,0.16,0.0,0.16,0.6,0.6,1.4,0.03,0.08,0.11,0.03,0.11,18.8,40.0,25,19.0,18.0,3.0,10.0,29.0,34.5,19.0,366.0,95.0,26.0,108.0,196.0,62.0,16.0,1.0,0.0,15.0,19,59,3.0,0.0,42.0,2.24,35.0,0.0,1.0,0.0,6.0,5.0,0.27,4.0,0.0,0.0,0.0,1.0,0.0,585.0,691.0,84.7,8996.0,2050.0,26.0,44.0,59.1,487.0,554.0,87.9,72.0,93.0,77.4,3,1.4,1.6,19.0,38.0,9.0,0.0,51.0,673.0,18.0,14.0,2.0,166.0,13.0,7,0.0,0.0,0.0,0.0,538.0,98.0,55.0,101.0,572.0,14.0,0.0,2.0,2.0,12.0,19.0,12.0,906.0,9.0,150.0,523.0,292.0,42.0,889.0,30.0,48.0,62.5,30.0,2.0,716.0,4027.0,2120.0,819.0,671.0,81.9,32.0,43.0,8,3,37.5,0.43,0.16,0.0,0.0,0.0,0.08,-0.6,-0.6
Aleix Vidal,ESP,MF,Alavés,La Liga,29.0,177,70,29,26,2165,2,4,0,0,6,0,0.08,0.17,0.25,0.08,0.25,2.4,2.4,3.8,0.1,0.16,0.26,0.1,0.26,24.1,23.0,16,6.0,13.0,4.0,9.0,34.0,26.5,25.0,434.0,98.0,22.6,120.0,212.0,102.0,36.0,2.0,0.0,34.0,14,37,14.0,0.0,69.0,2.87,37.0,19.0,3.0,2.0,8.0,8.0,0.33,4.0,2.0,0.0,0.0,2.0,0.0,611.0,848.0,72.1,11886.0,3841.0,13.0,44.0,29.5,458.0,560.0,81.8,140.0,244.0,57.4,4,3.8,0.2,39.0,56.0,27.0,13.0,119.0,699.0,149.0,67.0,2.0,163.0,51.0,57,45.0,14.0,16.0,4.0,495.0,166.0,187.0,90.0,689.0,27.0,24.0,10.0,5.0,26.0,21.0,35.0,1078.0,19.0,147.0,578.0,448.0,45.0,939.0,22.0,50.0,44.0,27.0,3.0,655.0,4697.0,2504.0,974.0,687.0,70.5,39.0,23.0,22,9,40.9,0.91,0.37,0.09,0.22,4.0,0.11,-0.4,-0.4
Aleksandar Kolarov,SRB,DF,Roma,Serie A,33.0,187,81,32,30,2732,7,3,2,4,6,0,0.23,0.1,0.33,0.16,0.26,6.9,3.9,4.9,0.23,0.16,0.39,0.13,0.29,30.4,41.0,25,24.0,12.0,5.0,20.0,43.0,46.5,23.0,262.0,112.0,42.7,100.0,115.0,47.0,36.0,10.0,0.0,26.0,18,59,71.0,1.0,103.0,3.39,67.0,22.0,2.0,10.0,1.0,7.0,0.23,5.0,1.0,0.0,0.0,0.0,1.0,1446.0,1836.0,78.8,29136.0,9514.0,16.0,69.0,23.2,1088.0,1221.0,89.1,342.0,546.0,62.6,3,4.9,-1.9,56.0,80.0,41.0,16.0,215.0,1516.0,320.0,71.0,3.0,199.0,82.0,81,70.0,15.0,49.0,3.0,1091.0,342.0,403.0,1423.0,143.0,59.0,179.0,2.0,5.0,38.0,22.0,70.0,2129.0,113.0,595.0,945.0,743.0,68.0,1785.0,22.0,31.0,71.0,24.0,0.0,1241.0,7640.0,4975.0,1449.0,1346.0,92.9,17.0,19.0,69,16,23.2,2.27,0.53,0.07,0.31,28.0,0.06,0.1,1.1
Alessio Romagnoli,ITA,DF,Milan,Serie A,24.0,188,78,35,35,3091,1,0,0,0,4,0,0.03,0.0,0.03,0.03,0.03,1.6,1.6,0.6,0.05,0.02,0.06,0.05,0.06,34.3,36.0,25,24.0,11.0,1.0,9.0,27.0,33.3,18.0,301.0,102.0,33.9,161.0,122.0,18.0,54.0,18.0,0.0,36.0,39,75,176.0,0.0,30.0,0.87,24.0,1.0,1.0,2.0,2.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,1806.0,1964.0,92.0,37991.0,12319.0,24.0,36.0,66.7,1268.0,1314.0,96.5,514.0,614.0,83.7,0,0.6,-0.6,11.0,119.0,5.0,0.0,119.0,1902.0,62.0,53.0,1.0,194.0,47.0,0,0.0,0.0,0.0,0.0,1495.0,215.0,254.0,1602.0,235.0,65.0,9.0,6.0,2.0,16.0,6.0,9.0,2284.0,311.0,1157.0,1194.0,75.0,19.0,2226.0,4.0,6.0,66.7,4.0,0.0,1455.0,7775.0,3765.0,1625.0,1598.0,98.3,3.0,2.0,14,3,21.4,0.41,0.09,0.07,0.33,0.0,0.12,-0.6,-0.6
Alex Oxlade-Chamberlain,ENG,MF,Liverpool,Premier League,25.0,175,70,30,17,1485,4,1,0,0,1,0,0.24,0.06,0.3,0.24,0.3,2.9,2.9,1.2,0.17,0.08,0.25,0.17,0.25,16.5,23.0,14,4.0,12.0,7.0,5.0,24.0,20.8,19.0,374.0,111.0,29.7,79.0,171.0,124.0,27.0,2.0,0.0,25.0,13,36,7.0,0.0,41.0,2.48,31.0,0.0,3.0,3.0,4.0,4.0,0.24,1.0,0.0,2.0,0.0,1.0,0.0,592.0,748.0,79.1,11905.0,2554.0,10.0,31.0,32.3,435.0,514.0,84.6,147.0,203.0,72.4,1,1.2,-0.2,17.0,84.0,31.0,7.0,79.0,733.0,15.0,1.0,4.0,136.0,32.0,29,0.0,0.0,0.0,0.0,464.0,124.0,160.0,87.0,609.0,27.0,6.0,7.0,3.0,22.0,17.0,23.0,966.0,13.0,86.0,527.0,432.0,47.0,952.0,35.0,54.0,64.8,36.0,0.0,703.0,4418.0,2245.0,885.0,731.0,82.6,33.0,38.0,40,10,25.0,2.42,0.61,0.1,0.4,0.0,0.07,1.1,1.1
Alex Sandro,BRA,DF,Juventus,Serie A,28.0,180,80,29,27,2385,1,3,0,0,4,0,0.04,0.11,0.15,0.04,0.15,0.7,0.7,2.5,0.03,0.09,0.12,0.03,0.12,26.5,42.0,25,22.0,13.0,7.0,12.0,34.0,35.3,22.0,297.0,84.0,28.3,117.0,121.0,59.0,49.0,6.0,1.0,43.0,33,75,57.0,2.0,70.0,2.64,58.0,4.0,2.0,1.0,5.0,6.0,0.23,5.0,0.0,0.0,1.0,0.0,0.0,1699.0,1973.0,86.1,30906.0,10544.0,29.0,64.0,45.3,1354.0,1460.0,92.7,316.0,449.0,70.4,3,2.5,0.5,34.0,112.0,47.0,16.0,193.0,1736.0,237.0,20.0,3.0,229.0,43.0,52,1.0,1.0,0.0,0.0,1310.0,391.0,272.0,1554.0,115.0,57.0,216.0,12.0,11.0,22.0,27.0,43.0,2244.0,97.0,573.0,1192.0,662.0,31.0,2021.0,30.0,46.0,65.2,32.0,1.0,1552.0,8958.0,5297.0,1626.0,1553.0,95.5,19.0,25.0,17,5,29.4,0.64,0.19,0.06,0.2,0.0,0.04,0.3,0.3
Alexander Isak,SWE,FW,Real Sociedad,La Liga,19.0,192,77,37,14,1507,9,1,0,0,3,0,0.54,0.06,0.6,0.54,0.6,6.4,6.4,2.2,0.38,0.13,0.51,0.38,0.51,16.7,9.0,7,0.0,6.0,3.0,2.0,10.0,20.0,8.0,259.0,74.0,28.6,6.0,84.0,169.0,10.0,1.0,0.0,9.0,3,12,6.0,0.0,32.0,1.91,23.0,0.0,4.0,2.0,3.0,4.0,0.24,1.0,0.0,1.0,2.0,0.0,0.0,222.0,304.0,73.0,3338.0,579.0,13.0,34.0,38.2,189.0,245.0,77.1,20.0,25.0,80.0,1,2.2,-1.2,15.0,12.0,13.0,0.0,27.0,271.0,33.0,1.0,4.0,83.0,3.0,8,1.0,0.0,0.0,0.0,200.0,63.0,41.0,56.0,211.0,18.0,0.0,2.0,0.0,4.0,11.0,19.0,497.0,7.0,17.0,247.0,276.0,103.0,465.0,24.0,42.0,57.1,27.0,0.0,353.0,2749.0,1775.0,728.0,372.0,51.1,40.0,42.0,44,22,50.0,2.63,1.31,0.2,0.41,1.0,0.15,2.6,2.6
Alexander Tettey,NOR,MF,Norwich City,Premier League,33.0,180,68,30,28,2338,1,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,0.8,0.8,0.8,0.03,0.03,0.06,0.03,0.06,26.0,31.0,20,11.0,18.0,2.0,12.0,43.0,27.9,31.0,384.0,98.0,25.5,185.0,177.0,22.0,40.0,15.0,0.0,25.0,26,57,85.0,0.0,18.0,0.69,16.0,0.0,0.0,2.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,1100.0,1242.0,88.6,19202.0,4074.0,13.0,32.0,40.6,895.0,975.0,91.8,192.0,235.0,81.7,1,0.8,0.2,5.0,54.0,4.0,0.0,45.0,1229.0,13.0,11.0,1.0,280.0,19.0,1,1.0,0.0,0.0,0.0,968.0,143.0,131.0,163.0,963.0,79.0,1.0,9.0,0.0,12.0,11.0,13.0,1494.0,129.0,564.0,838.0,177.0,12.0,1482.0,16.0,24.0,66.7,19.0,0.0,951.0,4914.0,2235.0,983.0,948.0,96.4,22.0,12.0,23,3,13.0,0.89,0.12,0.04,0.33,0.0,0.04,0.2,0.2
